1	0	H	1.6	4.2	5.25
0	2	A	8.5	5.5	1.33
2	0	H	1.18	7.5	13
0	3	A	2.63	3.3	2.63
1	0	H	1.36	5.25	8
1	1	D	2.45	3.5	2.8
1	2	A	2.45	3.6	2.75
2	1	H	2.4	3.4	2.9
0	2	A	4.1	3.9	1.8
1	1	D	5	4.33	1.62
2	1	H	2.5	3.7	2.63
0	2	A	2.15	3.6	3.2
2	1	H	1.8	3.75	4.2
4	1	H	1.08	12	21
0	1	A	2.55	3.3	2.8
4	0	H	1.44	4.75	6.5
0	2	A	4.33	3.8	1.75
1	1	D	2.9	3.8	2.2
2	6	A	4.33	4	1.75
2	0	H	1.27	5.75	11
1	1	D	1.33	5.5	8.5
3	1	H	1.75	3.9	4.33
2	3	A	2.75	3.4	2.55
1	1	D	3	3.5	2.3
1	2	A	4.5	4	1.7
1	1	D	2	3.7	3.7
1	3	A	7	5.5	1.38
1	1	D	1.6	4.33	5
2	1	H	2.5	4	2.5
0	3	A	3.7	4.2	1.85
0	3	A	4.5	4	1.7
0	0	D	1.38	5	7.5
2	2	D	1.62	4	5.5
1	1	D	2.38	3.25	3
0	1	A	1.22	6.5	12
2	1	H	1.18	8	12
3	2	H	1.5	4.2	6.5
0	1	A	3.4	3.8	2
0	1	A	3	3.5	2.3
1	2	A	3.4	3.5	2.1
0	3	A	3.6	3.9	1.95
3	1	H	1.57	4.2	5.25
3	1	H	3	3.4	2.4
1	1	D	2.45	3.4	2.88
3	0	H	1.3	6.25	9
1	1	D	2.25	3.5	3.2
3	1	H	1.55	4.5	5.5
0	0	D	2.88	3.75	2.3
2	2	D	1.75	3.75	4.75
2	2	D	1.8	3.6	4.5
1	1	D	5.25	4.33	1.6
4	2	H	1.17	8	15
1	1	D	2.2	3.5	3.2
4	2	H	1.73	4.2	4.2
2	1	H	2.7	3.3	2.63
0	1	A	2.38	3.3	3
1	2	A	8	5.75	1.33
2	2	D	4	3.75	1.85
0	3	A	2.35	3.75	2.75
3	1	H	1.65	4.1	5
0	1	A	6	4.5	1.5
3	1	H	1.14	9	17
5	3	H	2.05	3.6	3.4
1	0	H	3.1	3.75	2.15
3	2	H	1.25	7	9.5
4	1	H	1.8	3.8	4.33
0	0	D	3.2	3.6	2.2
0	0	D	2.2	3.75	3
1	1	D	1.48	4.5	6.5
3	2	H	2.9	4	2.2
4	1	H	1.5	5	5.25
1	3	A	2.45	3.5	2.8
0	2	A	2.38	3.3	3
2	1	H	1.7	4.2	4.5
0	1	A	1.95	3.7	3.6
2	3	A	2.3	3.5	3
2	0	H	5	3.9	1.65
1	2	A	8	6	1.33
2	1	H	1.62	4.1	5
1	0	H	2.3	3.5	3
1	3	A	3	3.3	2.4
1	1	D	1.85	3.9	3.8
4	3	H	1.65	4.33	4.75
2	2	D	1.62	4.5	4.5
1	0	H	1.11	10	17
1	1	D	2.75	3.25	2.63
2	1	H	1.73	4.33	4.2
1	0	H	3.9	4	1.83
2	1	H	2.88	3.75	2.3
2	2	D	2.5	3.25	2.9
1	0	H	3.75	3.75	1.95
2	1	H	5.5	4.2	1.57
1	1	D	2.25	3.5	3.1
2	1	H	1.4	5	7.5
3	0	H	2.15	3.5	3.4
1	0	H	2.63	3.4	2.63
2	2	D	2.5	3.4	2.88
4	1	H	1.91	4	3.6
1	1	D	2.6	3.5	2.6
2	1	H	2	3.7	3.5
3	2	H	2.5	3.5	2.7
0	2	A	2.7	3.5	2.55
0	0	D	2.15	3.4	3.4
2	0	H	1.91	3.75	3.75
2	1	H	4.1	4.2	1.73
2	0	H	1.42	5.25	6.5
3	0	H	1.38	5.5	6.5
1	3	A	2.7	3.3	2.7
1	2	A	1.25	6.5	9
1	1	D	2.7	3.4	2.55
1	2	A	6.5	4.75	1.44
3	0	H	1.38	4.75	9
2	2	D	1.62	4	5.5
1	2	A	2.4	3.6	2.8
0	0	D	2.45	3.4	2.88
1	4	A	1.62	4	5.25
0	4	A	1.48	4.75	6
2	3	A	11	5.75	1.27
1	1	D	5.25	4	1.62
0	2	A	1.5	4.5	6
1	1	D	1.38	5	7.5
4	1	H	1.65	4.2	4.75
1	1	D	2.9	3.6	2.3
1	0	H	1.7	3.8	4.75
2	4	A	2.8	3.6	2.4
2	5	A	7	4.5	1.45
3	0	H	1.7	4.1	4.5
4	0	H	1.53	4.2	6
1	1	D	1.7	4.5	4.1
2	0	H	2.1	3.6	3.3
0	1	A	3	3.4	2.35
3	1	H	2.9	3.4	2.38
4	0	H	2.1	3.4	3.5
3	0	H	1.36	4.75	9
3	3	D	4.2	4	1.75
1	5	A	8.5	5.25	1.33
2	0	H	1.44	4.5	7
3	1	H	1.8	3.75	4.33
3	1	H	2.35	3.6	2.88
1	0	H	2.63	3.75	2.45
1	0	H	1.36	5.5	7
4	2	H	2.88	3.75	2.3
2	2	D	5.5	4.2	1.57
2	3	A	1.65	3.9	5.25
1	1	D	5	4.33	1.6
1	2	A	3.5	3.75	2
2	2	D	4.5	3.8	1.73
3	4	A	3.4	3.9	2
2	1	H	1.9	3.9	3.75
0	0	D	1.22	6.5	12
2	2	D	1.33	5.5	8
4	0	H	1.3	6	8.5
1	2	A	1.9	3.8	3.8
2	1	H	2.63	3.3	2.7
1	3	A	1.85	3.8	3.9
1	2	A	1.57	4.5	5
2	1	H	1.33	6	7.5
0	5	A	4.33	4.5	1.67
1	1	D	1.7	4	4.75
2	1	H	3.25	3.7	2.1
0	2	A	2.3	3.6	2.9
0	4	A	4.75	3.75	1.73
1	1	D	2.88	3.7	2.35
1	5	A	6.25	4.2	1.55
0	0	D	5	4.2	1.62
0	0	D	1.42	4.75	7
0	3	A	2.55	3.4	2.7
0	3	A	1.8	3.8	4.2
3	6	A	4.5	4	1.73
1	1	D	1.33	5.5	7.5
0	0	D	1.9	3.8	3.8
1	2	A	1.48	4.75	6
3	0	H	1.91	3.8	3.75
1	0	H	2.3	3.75	2.88
0	1	A	3.25	3.5	2.2
2	0	H	3.9	3.7	1.91
3	1	H	1.08	12	23
0	0	D	1.62	4.33	4.75
1	0	H	1.14	9	15
0	2	A	7.5	5.5	1.36
2	1	H	1.57	3.9	5.5
0	2	A	2.6	3.2	2.8
2	2	D	2.3	3.6	2.88
2	2	D	1.6	5	4.2
0	5	A	7	5	1.4
2	2	D	1.9	3.8	3.6
2	0	H	6.5	4.75	1.42
0	2	A	2.75	3.5	2.55
1	3	A	6.5	4.75	1.44
1	2	A	2.88	3.8	2.25
2	1	H	1.33	5.5	8.5
1	0	H	1.73	3.75	4.75
1	1	D	3.8	3.75	1.91
4	1	H	1.3	6.25	7.5
0	5	A	3	3.4	2.4
1	1	D	4.33	3.75	1.8
2	2	D	1.55	4.2	5.75
2	2	D	1.29	6.25	8
0	3	A	3.3	3.2	2.3
2	2	D	4.75	4.2	1.62
2	2	D	1.48	4.75	6
3	2	H	3	3.4	2.38
1	1	D	5.25	4.1	1.62
0	1	A	3.25	3.2	2.3
0	2	A	3.9	3.6	1.91
3	0	H	1.36	5.5	8
2	1	H	1.4	5.25	7
0	2	A	3.9	3.7	1.91
3	1	H	1.29	6	9.5
1	4	A	1.62	4.2	5
0	2	A	6.5	5	1.42
0	2	A	4.33	3.7	1.8
0	2	A	2.6	3.5	2.63
2	2	D	1.5	4.1	7
3	2	H	2.8	3.5	2.45
1	3	A	2.1	3.6	3.3
3	2	H	1.38	4.75	8
0	6	A	7.5	5.25	1.36
3	1	H	1.36	5.75	6.5
5	0	H	2.05	3.7	3.4
0	1	A	1.67	3.75	5.5
4	1	H	1.08	12	15
1	3	A	6.5	5.25	1.42
0	1	A	7	4.5	1.45
3	1	H	2.05	4	3.3
1	2	A	2.05	3.75	3.3
1	2	A	1.45	5.5	5.5
1	1	D	1.53	4.33	5.75
0	1	A	2.3	3.4	3.1
7	0	H	2.38	3.5	2.8
0	2	A	4.5	4.33	1.67
4	0	H	1.75	3.75	4.5
1	2	A	1.95	3.6	3.8
1	2	A	1.7	4	4.75
2	0	H	3.3	3.6	2.1
0	2	A	2.1	3.9	3.2
0	2	A	2	3.5	3.8
5	1	H	1.95	3.5	4
2	1	H	1.36	4.75	8
2	2	D	7.5	4.5	1.44
